Dataset,Beta,NDCG,MAP@20,Precision@20,Recall@20,R-Precision
Beer,0,0.5609,0.8227,0.7783,0.4699,0.4471
Beer,0.0001,0.5612,0.8231,0.7792,0.4701,0.4478
Beer,0.001,0.5606,0.8232,0.7794,0.4693,0.4466
Beer,0.01,0.5618,0.824,0.7809,0.4705,0.4488
Beer,0.1,0.5843,0.8669,0.8058,0.4814,0.4591
Beer,1,0.5854,0.8708,0.8071,0.4812,0.4595
CdsVinyl,0,0.7419,0.4331,0.2859,0.8834,0.5114
CdsVinyl,0.0001,0.7415,0.4332,0.2861,0.8842,0.5115
CdsVinyl,0.001,0.742,0.4332,0.286,0.8844,0.5109
CdsVinyl,0.01,0.7396,0.4322,0.2862,0.8848,0.5068
CdsVinyl,0.1,0.7217,0.4244,0.2836,0.8752,0.4879
CdsVinyl,1,0.6849,0.3973,0.274,0.8492,0.4456
CdsVinyl,0,0.7098,0.4111,0.2777,0.8567,0.4956
CdsVinyl,0.0001,0.71,0.4105,0.2779,0.8572,0.4956
CdsVinyl,0.001,0.7097,0.4105,0.2784,0.8583,0.4959
CdsVinyl,0.01,0.7141,0.4125,0.2788,0.8601,0.4981
CdsVinyl,0.1,0.7386,0.4298,0.2852,0.8813,0.51
CdsVinyl,1,0.6932,0.4056,0.2759,0.8546,0.4582
